model_slug,model_params_B,dataset,mode,engine,seed,mean_latency_ms,latency_ci_95_lower,latency_ci_95_upper,throughput_rps,cached_tokens_mean,gpu_energy_j,latency_reduction_vs_no_cache_pct
gemma4_e2b,2.3,dolly,templated,lmcache_no_cache,123,11.334923,10.994875,11.674971,88.217378,0,1125.114,0.0
gemma4_e2b,2.3,dolly,templated,lmcache,123,9.322487,9.042812,9.602162,104.960707,768,889.767,17.7543
gemma4_e2b,2.3,dolly,templated,lmcache_meritkv,123,9.304541,9.025405,9.583677,107.467652,768,888.568,17.9126
gemma4_e2b,2.3,dolly,templated,lmcache_no_cache,456,11.333988,10.993968,11.674008,88.22465,0,1125.003,0.0
gemma4_e2b,2.3,dolly,templated,lmcache,456,9.323077,9.043385,9.602769,104.96601,768,889.809,17.7423
gemma4_e2b,2.3,dolly,templated,lmcache_meritkv,456,9.305132,9.025978,9.584286,107.460819,768,888.611,17.9006
gemma4_e2b,2.3,dolly,templated,lmcache_no_cache,789,11.260088,10.922285,11.597891,88.803675,0,1117.65,0.0
gemma4_e2b,2.3,dolly,templated,lmcache,789,9.323668,9.043958,9.603378,104.971313,768,889.852,17.1972
gemma4_e2b,2.3,dolly,templated,lmcache_meritkv,789,9.305839,9.026664,9.585014,107.452656,768,888.66,17.3555
gemma4_e2b,2.3,dolly,templated,lmcache_no_cache,999,11.331495,10.99155,11.67144,88.244065,0,1124.727,0.0
gemma4_e2b,2.3,dolly,templated,lmcache,999,9.32404,9.044319,9.603761,104.974657,768,889.878,17.7157
gemma4_e2b,2.3,dolly,templated,lmcache_meritkv,999,9.306099,9.026916,9.585282,107.449661,768,888.68,17.874
gemma4_e2b,2.3,samsum,rag,lmcache_no_cache,42,14.131204,13.707268,14.55514,70.760943,0,1534.76,0.0
gemma4_e2b,2.3,samsum,rag,lmcache,42,11.638759,11.289596,11.987922,85.914429,2048,1215.443,17.6379
gemma4_e2b,2.3,samsum,rag,lmcache_meritkv,42,11.616502,11.268007,11.964997,86.079034,2049,1213.816,17.7954
gemma4_e2b,2.3,samsum,rag,lmcache_no_cache,123,13.970952,13.551823,14.390081,71.572595,0,1521.954,0.0
gemma4_e2b,2.3,samsum,rag,lmcache,123,11.499362,11.154381,11.844343,85.091239,2048,1204.525,17.6909
gemma4_e2b,2.3,samsum,rag,lmcache_meritkv,123,11.477359,11.133038,11.82168,87.122598,2049,1202.912,17.8484
gemma4_e2b,2.3,samsum,rag,lmcache_no_cache,456,14.047546,13.62612,14.468972,71.182348,0,1530.274,0.0
gemma4_e2b,2.3,samsum,rag,lmcache,456,11.50009,11.155087,11.845093,85.095538,2048,1204.582,18.1345
gemma4_e2b,2.3,samsum,rag,lmcache_meritkv,456,11.47823,11.133883,11.822577,87.115983,2049,1202.98,18.2901
gemma4_e2b,2.3,samsum,rag,lmcache_no_cache,789,14.046392,13.625,14.467784,71.188197,0,1530.123,0.0
gemma4_e2b,2.3,samsum,rag,lmcache,789,11.500818,11.155793,11.845843,85.099837,2048,1204.639,18.1226
gemma4_e2b,2.3,samsum,rag,lmcache_meritkv,789,11.47896,11.134591,11.823329,87.110445,2049,1203.037,18.2782
gemma4_e2b,2.3,samsum,rag,lmcache_no_cache,999,13.966706,13.547705,14.385707,71.594357,0,1521.428,0.0
gemma4_e2b,2.3,samsum,rag,lmcache,999,11.501278,11.15624,11.846316,85.102548,2048,1204.675,17.6522
gemma4_e2b,2.3,samsum,rag,lmcache_meritkv,999,11.47928,11.134902,11.823658,87.108014,2049,1203.063,17.8097
gemma4_e2b,2.3,samsum,templated,lmcache_no_cache,42,13.932903,13.514916,14.35089,71.768376,0,1505.964,0.0
gemma4_e2b,2.3,samsum,templated,lmcache,42,11.343497,11.003192,11.683802,88.151107,1536,1178.926,18.5848
gemma4_e2b,2.3,samsum,templated,lmcache_meritkv,42,11.321825,10.98217,11.66148,88.31984,1536,1177.349,18.7404
gemma4_e2b,2.3,samsum,templated,lmcache_no_cache,123,13.698766,13.287803,14.109729,72.99503,0,1485.144,0.0
gemma4_e2b,2.3,samsum,templated,lmcache,123,11.207637,10.871408,11.543866,87.306485,1536,1168.336,18.1851
gemma4_e2b,2.3,samsum,templated,lmcache_meritkv,123,11.186073,10.850491,11.521655,89.391678,1536,1166.763,18.3425
gemma4_e2b,2.3,samsum,templated,lmcache_no_cache,456,13.773705,13.360494,14.186916,72.597882,0,1493.245,0.0
gemma4_e2b,2.3,samsum,templated,lmcache,456,11.208347,10.872097,11.544597,87.310896,1536,1168.392,18.625
gemma4_e2b,2.3,samsum,templated,lmcache_meritkv,456,11.186923,10.851315,11.522531,89.384887,1536,1166.828,18.7806
gemma4_e2b,2.3,samsum,templated,lmcache_no_cache,789,13.772579,13.359402,14.185756,72.603817,0,1493.099,0.0
gemma4_e2b,2.3,samsum,templated,lmcache,789,11.209056,10.872784,11.545328,87.315307,1536,1168.447,18.6132
gemma4_e2b,2.3,samsum,templated,lmcache_meritkv,789,11.187634,10.852005,11.523263,89.379204,1536,1166.884,18.7688
gemma4_e2b,2.3,samsum,templated,lmcache_no_cache,999,13.770693,13.357572,14.183814,72.61376,0,1492.88,0.0
gemma4_e2b,2.3,samsum,templated,lmcache,999,11.209504,10.873219,11.545789,87.318089,1536,1168.482,18.5988
gemma4_e2b,2.3,samsum,templated,lmcache_meritkv,999,11.188084,10.852441,11.523727,89.375606,1536,1166.919,18.7544
gemma4_e2b,2.3,xsum,rag,lmcache_no_cache,42,18.041734,17.500482,18.582986,55.424172,0,2084.475,0.0
gemma4_e2b,2.3,xsum,rag,lmcache,42,14.675594,14.235326,15.115862,68.136812,3840,1630.35,18.6575
gemma4_e2b,2.3,xsum,rag,lmcache_meritkv,42,14.647499,14.208074,15.086924,68.267505,3842,1628.165,18.8132
gemma4_e2b,2.3,xsum,rag,lmcache_no_cache,123,17.837133,17.302019,18.372247,56.059918,0,2067.083,0.0
gemma4_e2b,2.3,xsum,rag,lmcache,123,14.499826,14.064831,14.934821,67.483958,3840,1615.706,18.7099
gemma4_e2b,2.3,xsum,rag,lmcache_meritkv,123,14.472049,14.037888,14.90621,69.095134,3842,1613.539,18.8656
gemma4_e2b,2.3,xsum,rag,lmcache_no_cache,456,17.835656,17.300586,18.370726,56.06456,0,2066.878,0.0
gemma4_e2b,2.3,xsum,rag,lmcache,456,14.500744,14.065722,14.935766,67.487368,3840,1615.782,18.698
gemma4_e2b,2.3,xsum,rag,lmcache_meritkv,456,14.47297,14.038781,14.907159,69.090741,3842,1613.616,18.8537
gemma4_e2b,2.3,xsum,rag,lmcache_no_cache,789,17.834177,17.299152,18.369202,56.069209,0,2066.674,0.0
gemma4_e2b,2.3,xsum,rag,lmcache,789,14.501662,14.066612,14.936712,67.490777,3840,1615.859,18.6861
gemma4_e2b,2.3,xsum,rag,lmcache_meritkv,789,14.47389,14.039673,14.908107,69.086348,3842,1613.692,18.8418
gemma4_e2b,2.3,xsum,rag,lmcache_no_cache,999,17.831713,17.296762,18.366664,56.076955,0,2066.368,0.0
gemma4_e2b,2.3,xsum,rag,lmcache,999,14.502241,14.067174,14.937308,67.492927,3840,1615.907,18.6716
gemma4_e2b,2.3,xsum,rag,lmcache_meritkv,999,14.474473,14.040239,14.908707,69.083567,3842,1613.741,18.8274
gemma4_e2b,2.3,xsum,templated,lmcache_no_cache,42,17.803473,17.269369,18.337577,56.166067,0,2063.099,0.0
gemma4_e2b,2.3,xsum,templated,lmcache,42,14.421957,13.989298,14.854616,69.335322,3840,1606.964,18.9936
gemma4_e2b,2.3,xsum,templated,lmcache_meritkv,42,14.394219,13.962392,14.826046,69.468932,3842,1604.801,19.1494
gemma4_e2b,2.3,xsum,templated,lmcache_no_cache,123,17.601569,17.073522,18.129616,56.810334,0,2045.884,0.0
gemma4_e2b,2.3,xsum,templated,lmcache,123,14.249227,13.82175,14.676704,68.670985,3840,1592.53,19.0457
gemma4_e2b,2.3,xsum,templated,lmcache_meritkv,123,14.221804,13.79515,14.648458,70.311127,3842,1590.384,19.2015
gemma4_e2b,2.3,xsum,templated,lmcache_no_cache,456,17.600111,17.072108,18.128114,56.815041,0,2045.682,0.0
gemma4_e2b,2.3,xsum,templated,lmcache,456,14.250129,13.822625,14.677633,68.674454,3840,1592.605,19.0339
gemma4_e2b,2.3,xsum,templated,lmcache_meritkv,456,14.222708,13.796027,14.649389,70.306656,3842,1590.46,19.1897
gemma4_e2b,2.3,xsum,templated,lmcache_no_cache,789,17.696553,17.165656,18.22745,56.505414,0,2056.858,0.0
gemma4_e2b,2.3,xsum,templated,lmcache,789,14.251031,13.8235,14.678562,68.677924,3840,1592.68,19.47
gemma4_e2b,2.3,xsum,templated,lmcache_meritkv,789,14.223789,13.797075,14.650503,70.301314,3842,1590.549,19.624
gemma4_e2b,2.3,xsum,templated,lmcache_no_cache,999,17.596223,17.068336,18.12411,56.827596,0,2045.176,0.0
gemma4_e2b,2.3,xsum,templated,lmcache,999,14.2516,13.824052,14.679148,68.680112,3840,1592.728,19.0076
gemma4_e2b,2.3,xsum,templated,lmcache_meritkv,999,14.224185,13.797459,14.650911,70.299356,3842,1590.583,19.1634
gemma4_e4b,4.0,ag_news,rag,lmcache_no_cache,42,15.522512,15.056837,15.988187,64.419226,0,2058.166,0.0
gemma4_e4b,4.0,ag_news,rag,lmcache,42,12.8617,12.475849,13.247551,77.74619,0,1639.772,17.1416
gemma4_e4b,4.0,ag_news,rag,lmcache_meritkv,42,12.824815,12.440071,13.209559,77.969792,0,1636.48,17.3793
gemma4_e4b,4.0,ag_news,rag,lmcache_no_cache,123,15.369581,14.908494,15.830668,65.060212,0,2043.29,0.0
gemma4_e4b,4.0,ag_news,rag,lmcache,123,12.726788,12.344984,13.108592,77.093778,0,1626.872,17.195
gemma4_e4b,4.0,ag_news,rag,lmcache_meritkv,123,12.690267,12.309559,13.070975,78.796467,0,1623.604,17.4326
gemma4_e4b,4.0,ag_news,rag,lmcache_no_cache,456,15.368307,14.907258,15.829356,65.065603,0,2043.088,0.0
gemma4_e4b,4.0,ag_news,rag,lmcache,456,12.727593,12.345765,13.109421,77.097668,0,1626.949,17.1829
gemma4_e4b,4.0,ag_news,rag,lmcache_meritkv,456,12.691074,12.310342,13.071806,78.791454,0,1623.681,17.4205
gemma4_e4b,4.0,ag_news,rag,lmcache_no_cache,789,15.452526,14.98895,15.916102,64.710987,0,2054.252,0.0
gemma4_e4b,4.0,ag_news,rag,lmcache,789,12.728397,12.346545,13.110249,77.101559,0,1627.026,17.629
gemma4_e4b,4.0,ag_news,rag,lmcache_meritkv,789,12.692117,12.311353,13.072881,78.784982,0,1623.78,17.8638
gemma4_e4b,4.0,ag_news,rag,lmcache_no_cache,999,15.364909,14.903962,15.825856,65.079994,0,2042.583,0.0
gemma4_e4b,4.0,ag_news,rag,lmcache,999,12.728904,12.347037,13.110771,77.104012,0,1627.075,17.156
gemma4_e4b,4.0,ag_news,rag,lmcache_meritkv,999,12.692394,12.311622,13.073166,78.783261,0,1623.808,17.3936
gemma4_e4b,4.0,ag_news,templated,lmcache_no_cache,42,15.453121,14.989527,15.916715,64.708128,0,2049.901,0.0
gemma4_e4b,4.0,ag_news,templated,lmcache,42,12.683946,12.303428,13.064464,78.835287,0,1617.848,17.9198
gemma4_e4b,4.0,ag_news,templated,lmcache_meritkv,42,12.647663,12.268233,13.027093,79.061444,0,1614.608,18.1546
gemma4_e4b,4.0,ag_news,templated,lmcache_no_cache,123,15.300821,14.841796,15.759846,65.352211,0,2035.078,0.0
gemma4_e4b,4.0,ag_news,templated,lmcache,123,12.550898,12.174371,12.927425,78.173736,0,1605.121,17.9724
gemma4_e4b,4.0,ag_news,templated,lmcache_meritkv,123,12.514973,12.139524,12.890422,79.899694,0,1601.905,18.2072
gemma4_e4b,4.0,ag_news,templated,lmcache_no_cache,456,15.299565,14.840578,15.758552,65.357576,0,2034.878,0.0
gemma4_e4b,4.0,ag_news,templated,lmcache,456,12.551692,12.175141,12.928243,78.177681,0,1605.197,17.9605
gemma4_e4b,4.0,ag_news,templated,lmcache_meritkv,456,12.515769,12.140296,12.891242,79.89461,0,1601.981,18.1953
gemma4_e4b,4.0,ag_news,templated,lmcache_no_cache,789,15.200041,14.74404,15.656042,65.785515,0,2021.609,0.0
gemma4_e4b,4.0,ag_news,templated,lmcache,789,12.552485,12.17591,12.92906,78.181625,0,1605.272,17.4181
gemma4_e4b,4.0,ag_news,templated,lmcache_meritkv,789,12.516365,12.140874,12.891856,79.890807,0,1602.039,17.6557
gemma4_e4b,4.0,ag_news,templated,lmcache_no_cache,999,15.296208,14.837322,15.755094,65.37192,0,2034.379,0.0
gemma4_e4b,4.0,ag_news,templated,lmcache,999,12.552985,12.176395,12.929575,78.184113,0,1605.32,17.934
gemma4_e4b,4.0,ag_news,templated,lmcache_meritkv,999,12.517071,12.141559,12.892583,79.886302,0,1602.105,18.1688
gemma4_e4b,4.0,daily_dialog,rag,lmcache_no_cache,42,17.232052,16.71509,17.749014,58.028502,0,2236.121,0.0
gemma4_e4b,4.0,daily_dialog,rag,lmcache,42,14.1394,13.715218,14.563582,70.720832,256,1764.233,17.9471
gemma4_e4b,4.0,daily_dialog,rag,lmcache_meritkv,42,14.099055,13.676083,14.522027,70.923204,256,1760.709,18.1812
gemma4_e4b,4.0,daily_dialog,rag,lmcache_no_cache,123,17.062209,16.550343,17.574075,58.606138,0,2219.949,0.0
gemma4_e4b,4.0,daily_dialog,rag,lmcache,123,13.991086,13.571353,14.410819,70.127374,256,1750.354,17.9996
gemma4_e4b,4.0,daily_dialog,rag,lmcache_meritkv,123,13.951138,13.532604,14.369672,71.675168,256,1746.856,18.2337
gemma4_e4b,4.0,daily_dialog,rag,lmcache_no_cache,456,16.951354,16.442813,17.459895,58.989399,0,2205.491,0.0
gemma4_e4b,4.0,daily_dialog,rag,lmcache,456,13.99197,13.572211,14.411729,70.130913,256,1750.437,17.4581
gemma4_e4b,4.0,daily_dialog,rag,lmcache_meritkv,456,13.951803,13.533249,14.370357,71.671752,256,1746.919,17.6951
gemma4_e4b,4.0,daily_dialog,rag,lmcache_no_cache,789,16.949948,16.44145,17.458446,58.99429,0,2205.273,0.0
gemma4_e4b,4.0,daily_dialog,rag,lmcache,789,13.992855,13.573069,14.412641,70.134452,256,1750.52,17.446
gemma4_e4b,4.0,daily_dialog,rag,lmcache_meritkv,789,13.952691,13.53411,14.371272,71.667192,256,1747.002,17.683
gemma4_e4b,4.0,daily_dialog,rag,lmcache_no_cache,999,17.057072,16.54536,17.568784,58.623788,0,2219.188,0.0
gemma4_e4b,4.0,daily_dialog,rag,lmcache,999,13.993412,13.57361,14.413214,70.136683,256,1750.572,17.9612
gemma4_e4b,4.0,daily_dialog,rag,lmcache_meritkv,999,13.953477,13.534873,14.372081,71.663155,256,1747.075,18.1954
gemma4_e4b,4.0,daily_dialog,templated,lmcache_no_cache,42,16.641435,16.142192,17.140678,60.088319,0,2167.407,0.0
gemma4_e4b,4.0,daily_dialog,templated,lmcache,42,13.728605,13.316747,14.140463,72.837399,256,1719.265,17.5035
gemma4_e4b,4.0,daily_dialog,templated,lmcache_meritkv,42,13.689158,13.278483,14.099833,73.047287,256,1715.807,17.7405
gemma4_e4b,4.0,daily_dialog,templated,lmcache_no_cache,123,16.477509,15.983184,16.971834,60.686104,0,2151.745,0.0
gemma4_e4b,4.0,daily_dialog,templated,lmcache,123,13.584599,13.177061,13.992137,72.22618,256,1705.74,17.5567
gemma4_e4b,4.0,daily_dialog,templated,lmcache_meritkv,123,13.545541,13.139175,13.951907,73.821772,256,1702.307,17.7938
gemma4_e4b,4.0,daily_dialog,templated,lmcache_no_cache,456,16.476137,15.981853,16.970421,60.691158,0,2151.532,0.0
gemma4_e4b,4.0,daily_dialog,templated,lmcache,456,13.585458,13.177894,13.993022,72.229824,256,1705.821,17.5446
gemma4_e4b,4.0,daily_dialog,templated,lmcache_meritkv,456,13.546403,13.140011,13.952795,73.817075,256,1702.388,17.7817
gemma4_e4b,4.0,daily_dialog,templated,lmcache_no_cache,789,16.566684,16.069683,17.063685,60.359443,0,2163.322,0.0
gemma4_e4b,4.0,daily_dialog,templated,lmcache,789,13.586316,13.178727,13.993905,72.233469,256,1705.901,17.9901
gemma4_e4b,4.0,daily_dialog,templated,lmcache_meritkv,789,13.547048,13.140637,13.953459,73.813562,256,1702.45,18.2272
gemma4_e4b,4.0,daily_dialog,templated,lmcache_no_cache,999,16.472478,15.978304,16.966652,60.704639,0,2150.998,0.0
gemma4_e4b,4.0,daily_dialog,templated,lmcache,999,13.586858,13.179252,13.994464,72.235768,256,1705.952,17.5178
gemma4_e4b,4.0,daily_dialog,templated,lmcache_meritkv,999,13.547812,13.141378,13.954246,73.809399,256,1702.52,17.7549
gemma4_e4b,4.0,dolly,rag,lmcache_no_cache,42,17.316525,16.797029,17.836021,57.745544,0,2270.512,0.0
gemma4_e4b,4.0,dolly,rag,lmcache,42,14.214009,13.787589,14.640429,70.349762,768,1792.034,17.9165
gemma4_e4b,4.0,dolly,rag,lmcache_meritkv,42,14.173347,13.748147,14.598547,70.551588,768,1788.445,18.1513
gemma4_e4b,4.0,dolly,rag,lmcache_no_cache,123,16.941333,16.433093,17.449573,59.024406,0,2227.205,0.0
gemma4_e4b,4.0,dolly,rag,lmcache,123,14.064912,13.642965,14.486859,69.759418,768,1777.936,16.9787
gemma4_e4b,4.0,dolly,rag,lmcache_meritkv,123,14.02465,13.60391,14.445389,71.299612,768,1774.374,17.2164
gemma4_e4b,4.0,dolly,rag,lmcache_no_cache,456,17.144432,16.630099,17.658765,58.325182,0,2253.869,0.0
gemma4_e4b,4.0,dolly,rag,lmcache,456,14.065801,13.643827,14.487775,69.762938,768,1778.02,17.957
gemma4_e4b,4.0,dolly,rag,lmcache_meritkv,456,14.025543,13.604777,14.446309,71.295076,768,1774.458,18.1918
